month,year,births,date,t,year_idx,month_idx,log_births
12,1987,4300,1987-12-15,1987.9166666666667,21,11,8.366370301681654
1,1988,4705,1988-01-15,1988.0,22,0,8.45638105201948
2,1988,4715,1988-02-15,1988.0833333333333,22,1,8.458504195067558
3,1988,5247,1988-03-15,1988.1666666666667,22,2,8.565411763686711
4,1988,5180,1988-04-15,1988.25,22,3,8.55256033525353
5,1988,5087,1988-05-15,1988.3333333333333,22,4,8.534443544822764
6,1988,4838,1988-06-15,1988.4166666666667,22,5,8.484256691169973
7,1988,4822,1988-07-15,1988.5,22,6,8.480944058741116
8,1988,4743,1988-08-15,1988.5833333333333,22,7,8.464425125877582
9,1988,4885,1988-09-15,1988.6666666666667,22,8,8.493924564476883
10,1988,4501,1988-10-15,1988.75,22,9,8.412054873292933
11,1988,4306,1988-11-15,1988.8333333333333,22,10,8.367764677924308
12,1988,4497,1988-12-15,1988.9166666666667,22,11,8.411165786770708
1,1989,4678,1989-01-15,1989.0,23,0,8.450625947144124
2,1989,4661,1989-02-15,1989.0833333333333,23,1,8.446985296372741
3,1989,5297,1989-03-15,1989.1666666666667,23,2,8.574895901544526
4,1989,5235,1989-04-15,1989.25,23,3,8.563122123304638
5,1989,5212,1989-05-15,1989.3333333333333,23,4,8.558718938244736
6,1989,4945,1989-06-15,1989.4166666666667,23,5,8.506132244056813
7,1989,5084,1989-07-15,1989.5,23,6,8.533853632309345
8,1989,5033,1989-08-15,1989.5833333333333,23,7,8.52377150677636
9,1989,4983,1989-09-15,1989.6666666666667,23,8,8.513787398281405
10,1989,4817,1989-10-15,1989.75,23,9,8.479906606630221
11,1989,4599,1989-11-15,1989.8333333333333,23,10,8.433594167539924
12,1989,4759,1989-12-15,1989.9166666666667,23,11,8.46779284112111
1,1990,5118,1990-01-15,1990.0,24,0,8.540519016719735
2,1990,5012,1990-02-15,1990.0833333333333,24,1,8.51959031601596
3,1990,5516,1990-03-15,1990.1666666666667,24,2,8.615408238913192
4,1990,5436,1990-04-15,1990.25,24,3,8.600798775271034
5,1990,5275,1990-05-15,1990.3333333333333,24,4,8.570733958344267
6,1990,5111,1990-06-15,1990.4166666666667,24,5,8.53915035876828
7,1990,5132,1990-07-15,1990.5,24,6,8.543250725735527
8,1990,5174,1990-08-15,1990.5833333333333,24,7,8.551401362745974
9,1990,4939,1990-09-15,1990.6666666666667,24,8,8.504918160540624
10,1990,4842,1990-10-15,1990.75,24,9,8.485083137498004
11,1990,4668,1990-11-15,1990.8333333333333,24,10,8.448485993406447
12,1990,4716,1990-12-15,1990.9166666666667,24,11,8.458716261657262
1,1991,5137,1991-01-15,1991.0,25,0,8.544224530467268
2,1991,4926,1991-02-15,1991.0833333333333,25,1,8.502282578680484
3,1991,5524,1991-03-15,1991.1666666666667,25,2,8.616857514529183
4,1991,5489,1991-04-15,1991.25,25,3,8.610501368549889
5,1991,5439,1991-05-15,1991.3333333333333,25,4,8.60135049942296
6,1991,5057,1991-06-15,1991.4166666666667,25,5,8.528528701079983
7,1991,5266,1991-07-15,1991.5,25,6,8.569026340056254
8,1991,4991,1991-08-15,1991.5833333333333,25,7,8.515391569469609
9,1991,5135,1991-09-15,1991.6666666666667,25,8,8.543835122362658
10,1991,4767,1991-10-15,1991.75,25,9,8.469472455204826
11,1991,4398,1991-11-15,1991.8333333333333,25,10,8.388905171114706
12,1991,4679,1991-12-15,1991.9166666666667,25,11,8.450839690866216
